Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
105;7;н/д;0;8;"=""16.7""";high
106;1;н/д;0;0;"=""4.2""";н/д
107;1;н/д;0;0;"=""3.9""";н/д
108;1;н/д;0;0;"=""3.9""";н/д
109;1;н/д;0;0;"=""2.9""";н/д
110;1;н/д;0;0;"=""2.7""";н/д
111;1;н/д;0;0;"=""3.6""";н/д
112;1;н/д;0;0;"=""2.8""";н/д
113;1;н/д;0;0;"=""3.8""";н/д
114;1;н/д;0;0;"=""4.0""";н/д
115;1;н/д;0;0;"=""2.7""";н/д
116;1;н/д;0;0;"=""3.0""";н/д
117;1;н/д;0;0;"=""3.6""";н/д
118;1;н/д;0;0;"=""2.7""";н/д
119;1;н/д;0;0;"=""4.8""";н/д
120;1;н/д;0;0;"=""2.9""";н/д
121;1;н/д;0;0;"=""4.0""";н/д
122;1;н/д;0;0;"=""6.7""";н/д
123;1;н/д;0;0;"=""2.9""";н/д
124;2;н/д;1;4;"=""7.4""";high
125;1;н/д;0;0;"=""4.4""";н/д
126;1;н/д;0;0;"=""5.2""";н/д
127;1;н/д;0;0;"=""3.8""";н/д
128;1;н/д;0;0;"=""2.7""";н/д
129;1;11;0;0;"=""6.4""";н/д
130;1;н/д;0;0;"=""4.0""";н/д
131;1;н/д;0;0;"=""2.9""";н/д
132;1;н/д;0;0;"=""2.9""";н/д
133;1;н/д;0;0;"=""2.8""";н/д
134;1;н/д;0;0;"=""4.6""";н/д
135;1;н/д;0;0;"=""3.9""";н/д
136;1;н/д;0;0;"=""2.8""";н/д
137;1;MIA;0;0;"=""11.9""";н/д
138;1;н/д;0;0;"=""4.0""";н/д
139;1;н/д;0;0;"=""4.0""";н/д
140;1;ORD;0;0;"=""9.1""";н/д
141;2;н/д;1;2;"=""4.2""";high
142;1;н/д;0;0;"=""4.0""";н/д
143;1;н/д;0;0;"=""5.7""";н/д
144;1;н/д;0;0;"=""5.7""";н/д
145;2;н/д;1;3;"=""8.1""";high
146;1;н/д;0;0;"=""3.7""";н/д
147;2;PHNL;1;2;"=""8.5""";high
148;1;RNO;0;0;"=""8.2""";н/д
149;1;н/д;0;0;"=""3.9""";н/д
150;1;н/д;0;0;"=""4.1""";н/д
151;1;н/д;0;0;"=""4.1""";н/д
152;1;н/д;0;0;"=""2.6""";н/д
153;1;н/д;0;0;"=""2.7""";н/д
154;1;н/д;0;0;"=""5.9""";н/д
155;1;н/д;0;0;"=""3.9""";н/д
156;1;12L;0;0;"=""4.7""";н/д
157;1;YYZ;0;0;"=""8.2""";н/д
158;1;н/д;0;0;"=""3.8""";н/д
159;1;н/д;0;0;"=""4.1""";н/д
160;3;н/д;1;6;"=""8.3""";high
161;1;н/д;0;0;"=""4.5""";н/д
162;1;н/д;0;0;"=""4.7""";н/д
163;1;н/д;0;0;"=""6.0""";н/д
164;1;н/д;0;0;"=""4.9""";н/д
165;2;PHNL;1;4;"=""9.5""";high
166;1;н/д;0;0;"=""3.1""";н/д
167;1;н/д;0;0;"=""3.8""";н/д
168;1;н/д;0;0;"=""4.1""";н/д
169;1;н/д;0;0;"=""4.3""";н/д
170;1;н/д;0;0;"=""6.0""";н/д
171;1;н/д;0;0;"=""5.8""";н/д
172;1;н/д;0;0;"=""4.0""";н/д
173;2;н/д;1;5;"=""10.2""";high
174;1;н/д;0;0;"=""7.8""";н/д
175;1;н/д;0;0;"=""3.8""";н/д
