Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
80;1;н/д;0;0;"=""2.9""";н/д
81;1;н/д;0;0;"=""6.3""";н/д
82;1;12R;0;0;"=""4.8""";н/д
83;1;н/д;0;0;"=""7.4""";н/д
84;2;10R;1;7;"=""10.6""";high
85;1;н/д;0;0;"=""6.1""";н/д
86;1;н/д;0;0;"=""2.9""";н/д
87;1;11;0;0;"=""6.4""";н/д
88;1;н/д;0;0;"=""6.3""";н/д
89;1;12L;0;0;"=""4.6""";н/д
90;5;н/д;1;10;"=""14.1""";high
91;1;11;0;0;"=""6.2""";н/д
92;1;н/д;0;0;"=""6.4""";н/д
93;1;н/д;0;0;"=""2.8""";н/д
94;1;н/д;0;0;"=""5.0""";н/д
95;1;RNO;0;0;"=""9.4""";н/д
96;2;н/д;1;6;"=""10.8""";high
97;5;н/д;1;5;"=""8.2""";high
98;1;н/д;0;0;"=""3.0""";н/д
99;1;н/д;0;0;"=""6.0""";н/д
100;1;н/д;0;0;"=""6.7""";н/д
101;1;н/д;0;0;"=""2.9""";н/д
102;1;н/д;0;0;"=""6.4""";н/д
103;1;н/д;0;0;"=""3.6""";н/д
104;1;MDW;0;0;"=""4.7""";н/д
105;1;н/д;0;0;"=""4.0""";н/д
106;1;н/д;0;0;"=""4.6""";н/д
107;1;н/д;0;0;"=""3.8""";н/д
108;1;н/д;0;0;"=""4.8""";н/д
109;1;н/д;0;0;"=""6.1""";н/д
110;2;н/д;1;4;"=""8.8""";high
111;2;19L;1;4;"=""8.8""";high
112;1;н/д;0;0;"=""2.8""";н/д
113;1;н/д;0;0;"=""2.7""";н/д
114;1;н/д;0;0;"=""4.4""";н/д
115;10;12L;1;21;"=""32.0""";high
116;1;н/д;0;0;"=""4.2""";н/д
117;1;SMF;0;0;"=""7.3""";н/д
118;1;12R;0;0;"=""4.8""";н/д
119;1;н/д;0;0;"=""6.2""";н/д
120;1;н/д;0;0;"=""4.8""";н/д
121;1;RNO;0;0;"=""8.2""";н/д
122;1;н/д;0;0;"=""3.9""";н/д
123;1;н/д;0;0;"=""4.0""";н/д
124;1;н/д;0;0;"=""2.7""";н/д
125;1;н/д;0;0;"=""3.8""";н/д
126;1;н/д;0;0;"=""3.9""";н/д
127;1;н/д;0;0;"=""3.0""";н/д
128;3;15;1;5;"=""15.7""";high
129;1;н/д;0;0;"=""3.9""";н/д
130;1;н/д;0;0;"=""5.4""";н/д
131;1;н/д;0;0;"=""6.0""";н/д
132;3;н/д;1;3;"=""5.3""";high
133;1;н/д;0;0;"=""5.9""";н/д
134;1;н/д;0;0;"=""4.1""";н/д
135;1;н/д;0;0;"=""5.8""";н/д
136;1;н/д;0;0;"=""5.9""";н/д
137;1;н/д;0;0;"=""5.7""";н/д
138;1;н/д;0;0;"=""4.0""";н/д
139;7;SMF;1;12;"=""29.3""";high
140;2;12;1;5;"=""8.1""";high
141;1;30L;0;0;"=""5.6""";н/д
142;1;н/д;0;0;"=""5.0""";н/д
143;1;н/д;0;0;"=""4.6""";н/д
144;1;12L;0;0;"=""4.7""";н/д
145;1;ORD;0;0;"=""9.1""";н/д
146;1;н/д;0;0;"=""4.3""";н/д
147;1;н/д;0;0;"=""2.5""";н/д
148;2;IAD;1;6;"=""13.3""";high
149;1;н/д;0;0;"=""2.7""";н/д
150;4;н/д;1;5;"=""10.2""";high
151;1;н/д;0;0;"=""4.3""";н/д
152;1;MIA;0;0;"=""11.9""";н/д
153;1;н/д;0;0;"=""2.6""";н/д
154;1;н/д;0;0;"=""4.7""";н/д
155;1;н/д;0;0;"=""6.0""";н/д
156;1;н/д;0;0;"=""3.8""";н/д
157;1;н/д;0;0;"=""6.0""";н/д
158;2;н/д;1;3;"=""5.9""";high
159;1;н/д;0;0;"=""3.8""";н/д
160;1;н/д;0;0;"=""4.9""";н/д
161;1;н/д;0;0;"=""3.8""";н/д
162;1;н/д;0;0;"=""3.6""";н/д
163;1;н/д;0;0;"=""5.9""";н/д
164;1;н/д;0;0;"=""3.9""";н/д
165;1;н/д;0;0;"=""2.8""";н/д
166;1;н/д;0;0;"=""3.9""";н/д
167;1;YYZ;0;0;"=""8.2""";н/д
168;1;н/д;0;0;"=""4.9""";н/д
169;1;н/д;0;0;"=""4.7""";н/д
170;1;н/д;0;0;"=""2.7""";н/д
171;1;н/д;0;0;"=""6.2""";н/д
172;1;н/д;0;0;"=""5.7""";н/д
173;4;н/д;1;12;"=""29.1""";high
174;1;н/д;0;0;"=""4.9""";н/д
175;1;н/д;0;0;"=""3.1""";н/д
176;1;н/д;0;0;"=""4.1""";н/д
177;2;SMF;1;3;"=""12.6""";high
178;1;н/д;0;0;"=""4.1""";н/д
179;2;н/д;1;7;"=""10.1""";high
180;1;н/д;0;0;"=""4.0""";н/д
181;1;н/д;0;0;"=""4.1""";н/д
182;1;н/д;0;0;"=""2.7""";н/д
183;1;н/д;0;0;"=""2.9""";н/д
184;1;н/д;0;0;"=""4.1""";н/д
185;1;н/д;0;0;"=""2.9""";н/д
186;1;н/д;0;0;"=""5.7""";н/д
187;1;н/д;0;0;"=""4.0""";н/д
188;1;н/д;0;0;"=""4.0""";н/д
189;1;н/д;0;0;"=""4.1""";н/д
190;1;н/д;0;0;"=""5.9""";н/д
191;1;н/д;0;0;"=""5.2""";н/д
192;1;н/д;0;0;"=""4.0""";н/д
193;1;н/д;0;0;"=""5.8""";н/д
194;1;н/д;0;0;"=""3.9""";н/д
195;1;JFK;0;0;"=""12.8""";н/д
196;1;н/д;0;0;"=""3.9""";н/д
197;1;н/д;0;0;"=""5.5""";н/д
198;1;н/д;0;0;"=""7.9""";н/д
199;1;н/д;0;0;"=""5.6""";н/д
