Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
70;1;н/д;0;0;3.8;н/д
71;1;н/д;0;0;6.3;н/д
72;1;н/д;0;0;4.8;н/д
73;2;н/д;1;6;10.6;high
74;1;н/д;0;0;5.9;н/д
75;1;н/д;0;0;4.8;н/д
76;1;12R;0;0;4.8;н/д
77;1;н/д;0;0;4.8;н/д
78;1;н/д;0;0;4.8;н/д
79;1;н/д;0;0;4.8;н/д
80;1;12L;0;0;6.0;н/д
81;1;н/д;0;0;6.4;н/д
82;1;н/д;0;0;2.7;н/д
83;1;н/д;0;0;6.1;н/д
84;1;12R;0;0;4.8;н/д
85;1;30L;0;0;3.2;н/д
86;4;н/д;0;9;13.7;high
87;31;11;0;88;157.6;high
88;21;11;1;49;295.6;high
89;4;12;0;8;11.6;high
90;8;н/д;0;22;57.9;high
91;13;12R;0;36;55.3;high
92;6;RNO;0;15;41.9;high
93;3;н/д;1;8;14.7;high
94;5;PHNL;0;10;16.7;high
95;5;н/д;1;5;8.2;high
96;1;н/д;0;0;3.6;н/д
97;1;н/д;0;0;2.7;н/д
98;1;н/д;0;0;2.5;н/д
99;1;н/д;0;0;4.2;н/д
100;1;н/д;0;0;3.9;н/д
101;1;н/д;0;0;2.8;н/д
102;1;н/д;0;0;3.9;н/д
103;1;н/д;0;0;2.7;н/д
104;1;н/д;0;0;4.8;н/д
105;1;н/д;0;0;6.4;н/д
106;1;н/д;0;0;4.1;н/д
107;1;н/д;0;0;3.9;н/д
108;1;н/д;0;0;4.1;н/д
109;1;н/д;0;0;4.7;н/д
110;1;30L;0;0;5.6;н/д
111;1;н/д;0;0;4.7;н/д
112;1;н/д;0;0;2.7;н/д
113;1;н/д;0;0;2.7;н/д
114;1;н/д;0;0;5.7;н/д
115;1;н/д;0;0;4.8;н/д
116;4;н/д;0;7;9.8;high
117;1;н/д;0;0;4.9;н/д
118;1;н/д;0;0;3.0;н/д
119;1;н/д;0;0;3.0;н/д
120;2;FAT;1;5;13.2;high
121;1;н/д;0;0;6.3;н/д
122;1;н/д;0;0;4.9;н/д
123;1;н/д;0;0;6.1;н/д
124;1;н/д;0;0;4.1;н/д
125;1;н/д;0;0;4.4;н/д
126;2;н/д;1;5;6.4;high
127;1;н/д;0;0;3.6;н/д
128;1;н/д;0;0;4.0;н/д
129;1;н/д;0;0;2.9;н/д
130;1;11;0;0;6.4;н/д
131;1;н/д;0;0;3.9;н/д
132;1;н/д;0;0;6.2;н/д
133;1;н/д;0;0;2.9;н/д
134;1;н/д;0;0;4.0;н/д
135;1;н/д;0;0;6.0;н/д
136;1;н/д;0;0;6.3;н/д
137;1;н/д;0;0;3.8;н/д
138;1;н/д;0;0;2.6;н/д
139;1;н/д;0;0;2.7;н/д
140;2;PHNL;1;3;8.5;high
141;1;YYZ;0;0;8.2;н/д
142;1;н/д;0;0;3.9;н/д
143;2;12L;1;3;9.0;high
144;1;н/д;0;0;4.0;н/д
145;1;10R;0;0;7.0;н/д
146;1;н/д;0;0;4.3;н/д
147;1;н/д;0;0;7.8;н/д
148;1;н/д;0;0;6.7;н/д
149;1;н/д;0;0;3.8;н/д
150;1;12L;0;0;4.6;н/д
151;1;н/д;0;0;6.3;н/д
152;1;н/д;0;0;4.0;н/д
153;1;н/д;0;0;5.7;н/д
154;1;н/д;0;0;7.5;н/д
155;1;н/д;0;0;6.5;н/д
156;1;н/д;0;0;2.9;н/д
157;1;н/д;0;0;3.9;н/д
158;1;н/д;0;0;2.8;н/д
159;1;н/д;0;0;5.7;н/д
160;1;н/д;0;0;3.9;н/д
161;1;н/д;0;0;2.9;н/д
162;1;н/д;0;0;4.0;н/д
163;1;н/д;0;0;3.7;н/д
164;1;н/д;0;0;3.9;н/д
165;4;LAX;0;10;96.0;high
166;2;н/д;1;3;5.5;high
167;2;н/д;1;6;8.5;high
168;1;н/д;0;0;3.1;н/д
169;1;н/д;0;0;2.9;н/д
170;1;н/д;0;0;5.5;н/д
171;4;12L;0;8;18.1;high
172;1;н/д;0;0;2.8;н/д
173;4;11;0;8;22.0;high
174;3;12L;1;7;11.1;high
175;1;н/д;0;0;2.8;н/д
176;1;н/д;0;0;4.1;н/д
177;1;н/д;0;0;3.9;н/д
178;1;н/д;0;0;4.0;н/д
179;1;н/д;0;0;3.8;н/д
180;1;н/д;0;0;4.0;н/д
181;1;н/д;0;0;6.0;н/д
182;1;н/д;0;0;4.1;н/д
183;1;н/д;0;0;4.1;н/д
184;1;н/д;0;0;3.8;н/д
185;2;н/д;1;7;10.8;high
186;2;SMF;1;5;12.0;high
187;2;н/д;1;6;10.3;high
188;1;н/д;0;0;2.7;н/д
189;1;н/д;0;0;2.6;н/д
190;1;н/д;0;0;4.1;н/д
191;2;н/д;1;5;9.2;high
192;1;н/д;0;0;3.0;н/д
193;1;н/д;0;0;3.8;н/д
