Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
56;1;н/д;0;0;"=""4.6""";н/д
57;1;12L;0;0;"=""4.7""";н/д
58;1;н/д;0;0;"=""6.4""";н/д
59;1;н/д;0;0;"=""5.0""";н/д
60;1;н/д;0;0;"=""2.9""";н/д
61;1;н/д;0;0;"=""6.0""";н/д
62;1;н/д;0;0;"=""5.9""";н/д
63;1;н/д;0;0;"=""2.6""";н/д
64;1;н/д;0;0;"=""5.0""";н/д
65;1;н/д;0;0;"=""4.0""";н/д
66;1;н/д;0;0;"=""2.8""";н/д
67;7;13;0;16;"=""30.6""";high
68;2;н/д;1;3;"=""11.3""";high
69;5;SJC;0;11;"=""18.6""";high
70;1;н/д;0;0;"=""2.6""";н/д
71;1;н/д;0;0;"=""2.8""";н/д
72;1;н/д;0;0;"=""3.9""";н/д
73;1;н/д;0;0;"=""2.9""";н/д
74;1;н/д;0;0;"=""3.0""";н/д
75;1;н/д;0;0;"=""4.8""";н/д
76;1;н/д;0;0;"=""4.9""";н/д
77;1;н/д;0;0;"=""7.0""";н/д
78;4;н/д;0;9;"=""24.5""";high
79;1;н/д;0;0;"=""2.7""";н/д
80;1;н/д;0;0;"=""3.9""";н/д
81;4;MIA;0;10;"=""22.8""";high
82;1;н/д;0;0;"=""2.6""";н/д
83;1;н/д;0;0;"=""2.7""";н/д
84;3;SMF;1;8;"=""22.0""";high
85;1;н/д;0;0;"=""3.6""";н/д
86;1;н/д;0;0;"=""4.0""";н/д
87;1;н/д;0;0;"=""3.9""";н/д
88;1;н/д;0;0;"=""2.8""";н/д
89;1;н/д;0;0;"=""4.2""";н/д
90;1;н/д;0;0;"=""2.9""";н/д
91;1;н/д;0;0;"=""2.7""";н/д
92;1;н/д;0;0;"=""4.9""";н/д
93;3;н/д;1;3;"=""8.4""";high
94;1;н/д;0;0;"=""4.7""";н/д
95;1;н/д;0;0;"=""3.6""";н/д
96;1;н/д;0;0;"=""4.0""";н/д
97;2;н/д;1;4;"=""6.5""";high
98;1;н/д;0;0;"=""3.9""";н/д
99;1;н/д;0;0;"=""3.1""";н/д
100;1;н/д;0;0;"=""6.7""";н/д
101;3;н/д;1;3;"=""7.2""";high
102;1;н/д;0;0;"=""3.8""";н/д
103;14;12R;0;22;"=""62.5""";high
104;1;н/д;0;0;"=""4.0""";н/д
105;1;н/д;0;0;"=""2.9""";н/д
106;1;11;0;0;"=""6.4""";н/д
107;2;10R;1;7;"=""10.6""";high
108;1;н/д;0;0;"=""4.1""";н/д
109;1;н/д;0;0;"=""4.6""";н/д
110;10;н/д;0;14;"=""28.2""";high
111;1;ORD;0;0;"=""9.1""";н/д
112;1;н/д;0;0;"=""4.0""";н/д
113;1;н/д;0;0;"=""7.9""";н/д
114;1;н/д;0;0;"=""4.1""";н/д
115;1;н/д;0;0;"=""2.7""";н/д
116;2;12L;1;3;"=""9.0""";high
117;1;н/д;0;0;"=""2.8""";н/д
118;1;н/д;0;0;"=""2.7""";н/д
119;1;н/д;0;0;"=""4.9""";н/д
120;1;н/д;0;0;"=""2.5""";н/д
121;1;н/д;0;0;"=""3.9""";н/д
122;3;н/д;1;8;"=""13.5""";high
123;1;PHNL;0;0;"=""5.5""";н/д
124;2;н/д;1;4;"=""7.7""";high
125;1;н/д;0;0;"=""2.7""";н/д
126;1;н/д;0;0;"=""3.0""";н/д
127;1;н/д;0;0;"=""5.5""";н/д
128;1;н/д;0;0;"=""2.9""";н/д
129;1;н/д;0;0;"=""4.0""";н/д
130;1;н/д;0;0;"=""2.7""";н/д
131;1;н/д;0;0;"=""5.9""";н/д
132;2;н/д;1;2;"=""8.8""";high
133;2;PHNL;1;2;"=""7.1""";high
134;1;н/д;0;0;"=""6.2""";н/д
135;1;н/д;0;0;"=""2.9""";н/д
136;1;н/д;0;0;"=""2.9""";н/д
137;1;н/д;0;0;"=""4.0""";н/д
138;1;12;0;0;"=""5.7""";н/д
139;1;н/д;0;0;"=""3.9""";н/д
140;1;н/д;0;0;"=""5.8""";н/д
141;1;н/д;0;0;"=""5.5""";н/д
