Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
140;1;н/д;0;0;"=""5.9""";н/д
141;1;12R;0;0;"=""6.2""";н/д
142;1;FAT;0;0;"=""10.1""";н/д
143;1;н/д;0;0;"=""3.0""";н/д
144;2;н/д;1;4;"=""8.8""";high
145;1;MRY;0;0;"=""8.7""";н/д
146;1;SMF;0;0;"=""8.6""";н/д
147;1;н/д;0;0;"=""3.6""";н/д
148;1;н/д;0;0;"=""4.8""";н/д
149;1;н/д;0;0;"=""4.6""";н/д
150;1;н/д;0;0;"=""6.1""";н/д
151;1;н/д;0;0;"=""5.6""";н/д
152;3;н/д;1;3;"=""7.2""";high
153;1;н/д;0;0;"=""4.4""";н/д
154;13;SAN;0;24;"=""53.7""";high
155;2;н/д;1;7;"=""10.7""";high
156;1;н/д;0;0;"=""4.2""";н/д
157;1;н/д;0;0;"=""4.1""";н/д
158;3;н/д;1;9;"=""12.8""";high
159;1;н/д;0;0;"=""3.9""";н/д
160;1;н/д;0;0;"=""3.9""";н/д
161;1;н/д;0;0;"=""3.1""";н/д
162;1;н/д;0;0;"=""2.7""";н/д
163;1;н/д;0;0;"=""2.9""";н/д
164;1;н/д;0;0;"=""4.8""";н/д
165;1;н/д;0;0;"=""4.0""";н/д
166;3;н/д;1;8;"=""17.1""";high
167;1;н/д;0;0;"=""4.3""";н/д
168;1;SNA;0;0;"=""9.2""";н/д
169;1;н/д;0;0;"=""5.0""";н/д
170;1;н/д;0;0;"=""3.6""";н/д
171;1;н/д;0;0;"=""6.5""";н/д
172;1;н/д;0;0;"=""3.8""";н/д
173;1;MMPR;0;0;"=""9.2""";н/д
174;1;н/д;0;0;"=""6.4""";н/д
175;1;12R;0;0;"=""4.8""";н/д
176;1;н/д;0;0;"=""6.3""";н/д
177;1;LAX;0;0;"=""10.7""";н/д
178;1;н/д;0;0;"=""4.1""";н/д
179;1;н/д;0;0;"=""3.2""";н/д
180;3;12L;1;7;"=""13.4""";high
181;6;MIA;0;14;"=""81.6""";high
182;17;12R;0;52;"=""72.1""";high
183;2;н/д;1;2;"=""8.2""";high
184;1;н/д;0;0;"=""3.0""";н/д
185;1;н/д;0;0;"=""4.0""";н/д
186;1;н/д;0;0;"=""2.7""";н/д
187;1;н/д;0;0;"=""2.9""";н/д
188;1;н/д;0;0;"=""3.9""";н/д
189;1;н/д;0;0;"=""2.8""";н/д
190;1;н/д;0;0;"=""2.8""";н/д
191;1;н/д;0;0;"=""6.2""";н/д
192;1;н/д;0;0;"=""3.9""";н/д
193;1;н/д;0;0;"=""3.9""";н/д
194;1;н/д;0;0;"=""4.1""";н/д
195;1;н/д;0;0;"=""2.7""";н/д
196;1;н/д;0;0;"=""2.9""";н/д
197;1;н/д;0;0;"=""7.4""";н/д
198;1;н/д;0;0;"=""12.3""";н/д
199;2;н/д;1;3;"=""4.2""";high
200;1;н/д;0;0;"=""4.0""";н/д
201;1;н/д;0;0;"=""4.0""";н/д
202;1;н/д;0;0;"=""4.1""";н/д
203;1;н/д;0;0;"=""8.7""";н/д
204;2;10L;1;5;"=""19.5""";high
205;1;н/д;0;0;"=""4.0""";н/д
206;1;н/д;0;0;"=""3.8""";н/д
207;2;н/д;1;5;"=""8.9""";high
208;1;н/д;0;0;"=""3.8""";н/д
209;1;н/д;0;0;"=""4.8""";н/д
210;1;н/д;0;0;"=""3.8""";н/д
211;1;н/д;0;0;"=""2.6""";н/д
212;1;н/д;0;0;"=""6.3""";н/д
213;1;н/д;0;0;"=""2.6""";н/д
214;1;н/д;0;0;"=""7.5""";н/д
215;1;н/д;0;0;"=""4.4""";н/д
216;1;н/д;0;0;"=""5.5""";н/д
217;1;н/д;0;0;"=""4.9""";н/д
218;1;н/д;0;0;"=""3.7""";н/д
219;1;12L;0;0;"=""4.7""";н/д
220;3;PHX;1;8;"=""22.0""";high
221;1;11;0;0;"=""6.4""";н/д
222;1;н/д;0;0;"=""4.6""";н/д
223;2;н/д;1;3;"=""11.3""";high
224;1;10R;0;0;"=""7.0""";н/д
225;1;н/д;0;0;"=""3.8""";н/д
226;2;н/д;1;3;"=""6.9""";high
227;1;н/д;0;0;"=""5.8""";н/д
228;1;н/д;0;0;"=""5.2""";н/д
229;1;н/д;0;0;"=""5.5""";н/д
230;1;н/д;0;0;"=""4.8""";н/д
